"SNO","FileNO","n","pt","n0","mu","multilevel_community_modularity","walktrap_community_modularity","infomap_community_modularity","louvain_community_modularity","label_pop_community_modularity","fast_community_modularity","multilevel_community_size","walktrap_community_size","infomap_community_size","louvain_community_size","label_pop_community_size","fast_community_size","clustering_coefficient","average_path_length","number_of_nodes"
"205","205.gml","4000","0.5","5","0.8","0.561728467319689","0.438326299190521","0.498758020510353","0.561728467319689","0.0532284545916544","0.529489496117913","39","381","369","39","42","29","0.14422513689036","4.11738826932635","4015"
"206","206.gml","4000","0.5","10","0","0.959309372592615","0.957863986492157","0.875024598957274","0.959309372592615","0.903966106612334","0.95930937259261","27","52","222","27","188","27","0.26671209962208","4.19313948755184","4030"
"207","207.gml","4000","0.5","10","0.2","0.773028678839848","0.758638739585876","0.728818077354281","0.773028678839848","0.733409647773933","0.674682146372958","39","87","199","39","181","21","0.197768679817355","4.68623373839909","4030"
"208","208.gml","4000","0.5","10","0.4","0.566605695363832","0.478892832994461","0.513226287103704","0.566605695363832","0.563303876474281","0.521410172990664","25","282","285","25","151","15","0.137284826855219","4.08094589659214","4030"
"209","209.gml","4000","0.5","10","0.6","0.52012969156724","0.393761962652206","0.456806357577821","0.52012969156724","0.0203348560725635","0.49167924837921","35","344","357","35","19","25","0.133531882343775","4.05006974866461","4030"
"210","210.gml","4000","0.5","10","0.8","0.568066202337169","0.436272084712982","0.504375492697732","0.568066202337169","0.0561857205348789","0.527148082021332","36","427","376","36","52","28","0.150689839717714","4.1561932810942","4030"
"211","211.gml","4000","0.5","20","0","0.978766217316358","0.978766262531281","0.978766217316358","0.978766217316358","0.978766217316358","0.978383556663967","50","50","50","50","50","50","0.159338453715846","2.8475323341271","4060"
"212","212.gml","4000","0.5","20","0.2","0.776661690267302","0.756432235240936","0.739398138036884","0.776661690267302","0.738475541194622","0.669254107519671","42","97","180","42","182","22","0.190144031370183","4.54081691600615","4060"
"213","213.gml","4000","0.5","20","0.4","0.552382014721951","0.485606759786606","0.51514924372653","0.552382014721951","0.566947700237333","0.513464790567946","26","242","280","26","142","20","0.140449114518441","4.11820220710044","4060"
"214","214.gml","4000","0.5","20","0.6","0.528581789080123","0.395040094852448","0.466657679533962","0.528581789080123","0.0182115060802502","0.492123662179734","33","506","363","33","16","23","0.138755381288275","4.07077709693353","4060"
"215","215.gml","4000","0.5","20","0.8","0.540164202180254","0.410453259944916","0.479036124342567","0.540164202180254","0.0476780324551864","0.503251237020526","39","400","367","39","48","26","0.138949402337608","4.04235008986901","4060"
"216","216.gml","4000","0.5","30","0","0.983105128620774","0.98310512304306","0.983105128620774","0.983105128620774","0.974847194167123","0.983105128620775","67","67","67","67","70","67","0.208744876784009","2.47519371691035","4090"
"217","217.gml","4000","0.5","30","0.2","0.80143337797009","0.7822265625","0.770423666829025","0.80143337797009","0.747630878279989","0.735940412900517","47","107","213","47","261","24","0.386874343879056","5.194581682264","4090"
"218","218.gml","4000","0.5","30","0.4","0.62376288760306","0.567374885082245","0.575112994724972","0.62376288760306","0.0179725719417969","0.581669736638576","31","187","280","31","9","17","0.255344145064487","4.55363683709828","4090"
"219","219.gml","4000","0.5","30","0.6","0.537144513515563","0.409352242946625","0.476845843955326","0.537144513515563","0.480496825835234","0.503701470687123","32","383","352","32","329","21","0.151763502681187","4.20011396788211","4090"
"220","220.gml","4000","0.5","30","0.8","0.544784257091348","0.40570667386055","0.481741367418523","0.544784257091348","0.0457714555560472","0.512762282461677","34","583","382","34","38","28","0.144294676687993","4.09325143909864","4090"
"221","221.gml","4000","0.5","40","0","0.978840672022624","0.978840708732605","0.978840672022624","0.978840672022624","0.978840672022624","0.978840672022626","51","51","51","51","51","51","0.167274323549854","3.07748538011696","4120"
"222","222.gml","4000","0.5","40","0.2","0.794923569333439","0.768643617630005","0.761958356305138","0.794923569333439","0.745650419210461","0.714639290079323","48","166","213","48","243","22","0.322430997257396","5.1107265171818","4120"
"223","223.gml","4000","0.5","40","0.4","0.604593675357929","0.552057445049286","0.562546355670151","0.604593675357929","0.00411253941272316","0.553556094962805","30","192","260","30","5","18","0.185327346465817","4.37038457821556","4120"
"224","224.gml","4000","0.5","40","0.6","0.520465378929193","0.394557029008865","0.456774182216752","0.520465378929193","0.019543904583407","0.491222919634023","35","371","364","35","20","24","0.135401879520419","4.06087218360569","4120"
"225","225.gml","4000","0.5","40","0.8","0.557077106379502","0.418750107288361","0.494066808000252","0.557077106379502","0.478050650167423","0.516601195758633","37","478","368","37","401","27","0.154642212474631","4.16738627765718","4120"
"226","226.gml","1000","0.7","5","0","0.951590912355133","0.951590836048126","0.951590912355132","0.951590912355133","0.951590912355132","0.951590912355132","24","24","24","24","24","24","0.252465975777251","2.50700230455593","1015"
"227","227.gml","1000","0.7","5","0.2","0.745147112290104","0.734192669391632","0.70685136416712","0.745147112290104","0.663607102941091","0.670197387278033","19","36","75","19","75","14","0.255358193153747","4.38245061746388","1015"
"228","228.gml","1000","0.7","5","0.4","0.563496028788643","0.498207926750183","0.520556594204004","0.563496028788643","0.00751868689939514","0.524402659464614","16","72","82","16","2","13","0.188319238900634","3.71308284995288","1015"
"229","229.gml","1000","0.7","5","0.6","0.537785806317943","0.45209801197052","0.488050489158234","0.537785806317943","0.0294975040304566","0.515371255236356","17","101","100","17","8","15","0.192069944868296","3.75863040584526","1015"
"230","230.gml","1000","0.7","5","0.8","0.55270425671323","0.440328180789948","0.502382991391474","0.55270425671323","0.0672343430667086","0.52050917527704","21","109","101","21","15","17","0.196614530979856","3.73319730667211","1015"
"231","231.gml","1000","0.7","10","0","0.948911053007951","0.948911011219025","0.948911053007951","0.948911053007951","0.948911053007951","0.94891105300795","24","24","24","24","24","24","0.24950495049505","2.59173580608427","1030"
"232","232.gml","1000","0.7","10","0.2","0.759462859521332","0.750493764877319","0.731066439125911","0.759462859521332","0.728280474505723","0.688843488033298","24","37","61","24","57","12","0.265665992860522","4.2130374479889","1030"
"233","233.gml","1000","0.7","10","0.4","0.64046189588569","0.586725831031799","0.58890874415591","0.64046189588569","0.598497241260715","0.594388477502233","19","56","82","19","62","13","0.236363184326985","4.17856152169606","1030"
"234","234.gml","1000","0.7","10","0.6","0.546655442864862","0.456154018640518","0.489368203321852","0.546655442864862","0.511574621746554","0.518850241358886","18","65","106","18","72","16","0.192090139825331","3.76346533065376","1030"
"235","235.gml","1000","0.7","10","0.8","0.549845389785343","0.457995027303696","0.502308447510003","0.549845389785343","0.0426080663999089","0.52479616987254","19","98","103","19","10","16","0.199586414337636","3.80156245577288","1030"
"236","236.gml","1000","0.7","20","0","0.95214583258585","0.952145755290985","0.952145832585849","0.95214583258585","0.952145832585849","0.952145832585848","25","25","25","25","25","25","0.252944109862289","2.46979842842501","1060"
"237","237.gml","1000","0.7","20","0.2","0.750155001878738","0.743494510650635","0.718307077884674","0.750155001878738","0.715600043535233","0.668217569589615","22","39","61","22","62","11","0.255825353197598","4.15136208954692","1060"
"238","238.gml","1000","0.7","20","0.4","0.627086597181066","0.579462826251984","0.57441508412997","0.627086597181066","0.584495059135767","0.585702768687676","18","50","87","18","60","15","0.263858489301827","4.16112387977266","1060"
"239","239.gml","1000","0.7","20","0.6","0.560644590880149","0.486539423465729","0.51092779551217","0.560644590880149","0.520736445317112","0.522013308212302","21","74","106","21","81","15","0.200150470828075","3.86100807098188","1060"
"240","240.gml","1000","0.7","20","0.8","0.571800833109229","0.480676472187042","0.513600625431607","0.571800833109229","0.50569854121929","0.540910352670825","22","89","115","22","114","15","0.209469954373362","3.8666399415611","1060"
"241","241.gml","1000","0.7","30","0","0.958862485954241","0.958556294441223","0.935600720374253","0.958862485954241","0.899798238374729","0.958862485954241","35","37","53","35","70","35","0.537357605539424","2.65018961684321","1090"
"242","242.gml","1000","0.7","30","0.2","0.767650226242039","0.760492205619812","0.746524822503559","0.767650226242039","0.718253111898","0.673076187941748","24","45","62","24","77","11","0.299395028714217","4.4311842360216","1090"
"243","243.gml","1000","0.7","30","0.4","0.592444327460594","0.574294745922089","0.563451182664145","0.592444327460594","0.576542884225567","0.56240230470711","17","36","80","17","52","14","0.220075880257253","4.0031372945468","1090"
"244","244.gml","1000","0.7","30","0.6","0.572114394900522","0.484264105558395","0.517850197584359","0.572114394900522","0.0595163949969041","0.529512723028845","23","99","111","23","13","17","0.202425493484712","3.93849251480611","1090"
"245","245.gml","1000","0.7","30","0.8","0.579152443518667","0.486622720956802","0.527078481012659","0.579152443518667","0.515646082358597","0.547075180259572","22","99","114","22","110","15","0.214175541681968","3.91186257908526","1090"
"246","246.gml","1000","0.7","40","0","0.957149512112642","0.95333206653595","0.917364593269691","0.957149512112642","0.89805595019246","0.957149512112639","29","41","72","29","84","29","0.455334621065788","2.95676943699732","1120"
"247","247.gml","1000","0.7","40","0.2","0.757781281677968","0.755900979042053","0.72503130486343","0.757781281677968","0.717527979339041","0.695260201944476","21","31","75","21","77","17","0.26328727642621","4.57151155368314","1120"
"248","248.gml","1000","0.7","40","0.4","0.596972532434097","0.557551860809326","0.54802550417812","0.596972532434097","0.574050155772284","0.566763129869316","17","66","91","17","66","13","0.219109299956338","4.0696636027065","1120"
"249","249.gml","1000","0.7","40","0.6","0.550248838888797","0.450801104307175","0.496283480610275","0.550248838888797","0.0220976889854084","0.513384352532092","24","80","117","24","7","17","0.188926316728757","3.84195870037023","1120"
"250","250.gml","1000","0.7","40","0.8","0.599114995568191","0.499753355979919","0.538280950443752","0.599114995568191","0.127641128173315","0.563816683656132","21","122","128","21","28","21","0.22401614530777","4.06941146431763","1120"
"251","251.gml","2000","0.7","5","0","0.954926515735464","0.950197160243988","0.911321803522316","0.954926515735464","0.912004076038533","0.954926515735468","28","53","107","28","104","28","0.341029800479245","2.98867986493837","2015"
"252","252.gml","2000","0.7","5","0.2","0.757041886297641","0.74292004108429","0.711695462041409","0.757041886297641","0.715115630806949","0.660696535308781","25","56","108","25","96","14","0.197261531400597","4.14740341184907","2015"
"253","253.gml","2000","0.7","5","0.4","0.600600547557452","0.541125416755676","0.559364053517461","0.600600547557452","0.00709095321842006","0.557552982825958","19","80","143","19","5","16","0.177085722148328","4.13434395952896","2015"
"254","254.gml","2000","0.7","5","0.6","0.543289788666437","0.425867170095444","0.486287889989493","0.543289788666437","0.0271783724948178","0.503871003707345","24","239","202","24","12","24","0.15506699377241","3.94799628407598","2015"
"255","255.gml","2000","0.7","5","0.8","0.551886051651833","0.427719742059708","0.494097177434633","0.551886051651833","0.0735872244282476","0.531060684060719","27","259","198","27","29","24","0.15537283116756","3.89684516079749","2015"
"256","256.gml","2000","0.7","10","0","0.959013876918026","0.956725656986237","0.913346794572262","0.959013876918026","0.913788423542051","0.959013876918026","29","46","106","29","105","29","0.340753128423966","3.34601445367274","2030"
"257","257.gml","2000","0.7","10","0.2","0.759073073376875","0.739257335662842","0.715995698301061","0.759073073376875","0.735860280179315","0.644293737043988","25","56","104","25","71","16","0.203194384758631","4.19966010095002","2030"
"258","258.gml","2000","0.7","10","0.4","0.603378268960967","0.550946950912476","0.551163852043497","0.603378268960967","0.0139422194727993","0.560367233033881","21","107","166","21","7","15","0.185308239969093","4.29979630335505","2030"
"259","259.gml","2000","0.7","10","0.6","0.556833543776001","0.453699856996536","0.499166978061263","0.556833543776001","0.0252178354809035","0.527966634914591","25","216","187","25","12","24","0.180246474824656","4.10763340430749","2030"
"260","260.gml","2000","0.7","10","0.8","0.539047578430202","0.424919962882996","0.475838255979677","0.539047578430202","0.0187273363119931","0.506623015497612","27","211","195","27","11","19","0.15794961727137","3.83246570054408","2030"
"261","261.gml","2000","0.7","20","0","0.958499491168951","0.954735815525055","0.913379856513962","0.958499491168951","0.917444401456153","0.958499491168953","30","42","107","30","104","30","0.351764963823723","3.54229476892569","2060"
"262","262.gml","2000","0.7","20","0.2","0.776544472035076","0.764294326305389","0.752028487543726","0.776544472035076","0.732882635107942","0.686621393660987","33","65","101","33","112","15","0.259609532733754","4.66625848158923","2060"
"263","263.gml","2000","0.7","20","0.4","0.642173968329627","0.600165367126465","0.595814563484597","0.642173968329627","0.599766184244086","0.59861141535543","27","89","150","27","118","17","0.281057469765622","4.46016446856566","2060"
"264","264.gml","2000","0.7","20","0.6","0.513375107648849","0.38665646314621","0.455046575330498","0.513375107648849","0.0088775519179807","0.480270536097252","26","225","194","26","5","19","0.144192316671813","3.81087953903535","2060"
"265","265.gml","2000","0.7","20","0.8","0.549725424435227","0.416675835847855","0.487578143910911","0.549725424435227","0.0561224970635388","0.511773645892033","27","205","201","27","23","23","0.160962862021976","3.86929275687604","2060"
"266","266.gml","2000","0.7","30","0","0.968665840285679","0.96581643819809","0.93436947190468","0.968665840285679","0.927178109928986","0.968413375047946","39","57","107","39","124","39","0.371745587199087","3.14416563828329","2090"
"267","267.gml","2000","0.7","30","0.2","0.786837794416539","0.768647253513336","0.759739856124651","0.786837794416539","0.738093154182866","0.715366831212603","32","72","114","32","142","19","0.326476766487726","4.80797249662736","2090"
"268","268.gml","2000","0.7","30","0.4","0.597261943681075","0.574137270450592","0.567758384187314","0.597261943681075","0.577592628467708","0.556767540592531","23","88","142","23","119","17","0.212779453051887","4.2603447999432","2090"
"269","269.gml","2000","0.7","30","0.6","0.540285750469544","0.432358652353287","0.477684511856044","0.540285750469544","0.0212562524800217","0.510237055446786","22","201","200","22","13","18","0.165248314617425","3.96681775809034","2090"
"270","270.gml","2000","0.7","30","0.8","0.549923864076065","0.424299985170364","0.488120729583553","0.549923864076065","0.0562393465923787","0.513595419315045","27","204","204","27","24","20","0.162058049846181","3.89729615827724","2090"
"271","271.gml","2000","0.7","40","0","0.976819863342026","0.973928987979889","0.948138234691548","0.976819863342026","0.935936534449573","0.976488483529028","53","71","112","53","129","53","0.460238997376858","3.22809495447971","2120"
"272","272.gml","2000","0.7","40","0.2","0.784861208149748","0.769982993602753","0.750055504130003","0.784861208149748","0.736162526811233","0.707075753975432","31","65","114","31","131","18","0.271277750778108","4.74129528880658","2120"
"273","273.gml","2000","0.7","40","0.4","0.598878242714799","0.558772563934326","0.549712430097738","0.598878242714799","0.582666120125334","0.550915672309567","22","90","156","22","99","15","0.194591909596101","4.1963524090217","2120"
"274","274.gml","2000","0.7","40","0.6","0.54348168224851","0.434667706489563","0.486081091306681","0.54348168224851","0.0173034803810621","0.503061123818336","27","205","202","27","9","18","0.172331400637899","4.06253216629418","2120"
"275","275.gml","2000","0.7","40","0.8","0.552011981221228","0.428215473890305","0.494210397844624","0.552011981221228","0.0525322388535401","0.518505879052773","27","223","202","27","27","24","0.165078811997396","3.91416118318538","2120"
"276","276.gml","4000","0.7","5","0","0.955882820879141","0.952345609664917","0.881001079303747","0.955882820879141","0.919308172352022","0.956005879794104","28","65","219","28","173","28","0.259498310247989","4.06799927928692","4015"
"277","277.gml","4000","0.7","5","0.2","0.756829609322119","0.720539927482605","0.680566254900379","0.756829609322119","0.728874789442309","0.645141055078506","25","78","219","25","137","20","0.152317706274541","4.20795571663561","4015"
